,Nationalrat,Fraktion,Kanton,Geb. Datum,Mit Mehrheit/Total,MitMehrheit/Prozent
97,Geissbühler Andrea Martina,V,BE,1976-08-03,783.0,48.8
98,Gilli Yvonne,G,SG,1957-03-07,746.0,50.3
99,Girod Bastien,G,ZH,1980-12-21,726.0,50.2
100,Graf Maya,G,BL,1962-02-28,723.0,48.3
101,Schelbert Louis,G,LU,1952-10-31,843.0,57.7
102,Grin Jean-Pierre,V,VD,1947-03-16,936.0,62.0
103,Grunder Hans,BD,BE,1956-06-13,818.0,52.8
104,Heer Alfred,V,ZH,1961-10-12,627.0,41.0
105,Hiltpold Hugues,RL,GE,1969-05-05,1178.0,79.3
106,Hodgers Antonio,G,GE,1976-02-07,745.0,52.3
107,Hurter Thomas,V,SH,1963-11-01,833.0,55.3
108,Brunner Toni,V,SG,1974-08-23,815.0,53.5
109,Jositsch Daniel,S,ZH,1965-03-25,730.0,49.7
110,Killer Hans,V,AG,1948-03-09,864.0,57.5
111,Lüscher Christian,RL,GE,1963-12-06,1068.0,73.0
112,Malama Peter,RL,BS,1960-10-18,307.0,50.0
113,Glanzmann-Hunkeler Ida,CE,LU,1958-09-29,1183.0,81.7
114,Moser Tiana Angelina,GL,ZH,1979-04-06,901.0,60.2
115,Nidegger Yves,V,GE,1957-05-17,747.0,48.5
116,Nussbaumer Eric,S,BL,1960-07-11,780.0,52.8
117,Reimann Lukas,V,SG,1982-09-18,824.0,54.5
118,Rickli Natalie Simone,V,ZH,1976-11-19,478.0,50.8
119,Fehr Hans,V,ZH,1947-01-14,752.0,49.8
120,Schmid-Federer Barbara,CE,ZH,1965-11-10,958.0,67.5
121,Müller Thomas,V,SG,1952-12-01,756.0,56.6
122,Moret Isabelle,RL,VD,1970-12-30,1094.0,74.5
123,Thorens Goumaz Adèle,G,VD,1971-12-15,681.0,47.5
124,von Graffenried Alec,G,BE,1962-08-16,743.0,51.5
125,von Siebenthal Erich,V,BE,1958-12-30,842.0,56.3
126,Voruz Eric,S,VD,1945-07-05,752.0,51.8
127,Wasserfallen Christian,RL,BE,1981-06-30,1049.0,70.5
128,Favre Laurent,RL,NE,1972-10-14,1142.0,78.0
129,Marra Ada,S,VD,1973-03-10,823.0,56.8
130,van Singer Christian,G,VD,1950-01-20,825.0,56.2
131,Pelli Fulvio,RL,TI,1951-01-26,850.0,63.2
132,Weibel Thomas,GL,ZH,1954-07-14,1086.0,74.5
133,Bernasconi Maria,S,GE,1955-09-14,750.0,53.2
134,Semadeni Silva,S,GR,1952-02-08,821.0,56.7
135,Teuscher Franziska,G,BE,1958-03-07,827.0,56.8
