,Nationalrat,Fraktion,Kanton,Geb. Datum,Mit Mehrheit/Total,MitMehrheit/Prozent
83,Guldimann Tim,S,ZH,1950-09-19,556.0,46.8
84,Marti Min Li,S,ZH,1974-06-01,597.0,50.0
85,Campell Duri,BD,GR,1963-04-05,953.0,82.0
86,de la Reussille Denis,G,NE,1960-10-24,589.0,49.0
87,Meyer Mattea,S,ZH,1987-11-09,606.0,50.6
88,Allemann Evi,S,BE,1978-07-16,602.0,50.2
89,Nantermod Philippe,RL,VS,1984-03-27,946.0,81.6
90,Sauter Regine,RL,ZH,1966-04-16,932.0,81.2
91,Schenker Silvia,S,BS,1954-01-17,595.0,49.8
92,Amstutz Adrian,V,BE,1953-12-02,705.0,61.6
93,Jauslin Matthias Samuel,RL,AG,1962-04-20,973.0,84.4
94,Müller Walter,RL,SG,1948-04-25,928.0,80.6
95,Bäumle Martin,GL,ZH,1964-06-03,641.0,50.8
96,,,,,,
97,Wehrli Laurent,RL,VD,1965-06-04,994.0,86.8
98,Bigler Hans-Ulrich,RL,ZH,1958-04-05,871.0,72.6
99,Wobmann Walter,V,SO,1957-11-21,705.0,62.4
100,Kiener Nellen Margret,S,BE,1953-04-17,567.0,47.6
101,,,,,,
102,Heim Bea,S,SO,1946-04-07,583.0,48.6
103,Schwander Pirmin,V,SZ,1961-12-28,671.0,59.0
104,Seiler Graf Priska,S,ZH,1968-08-29,606.0,50.2
105,Barrile Angelo,S,ZH,1976-08-22,557.0,45.4
106,Reimann Maximilian,V,AG,1942-05-07,689.0,60.2
107,Brélaz Daniel,G,VD,1950-01-04,469.0,40.0
108,Stamm Luzi,V,AG,1952-09-09,678.0,58.6
109,Tschäppät Alexander,S,BE,1952-04-16,566.0,47.2
110,Cassis Ignazio,RL,TI,1961-04-13,1010.0,88.0
111,Carobbio Guscetti Marina,S,TI,1966-06-12,592.0,49.4
112,Nordmann Roger,S,VD,1973-03-23,595.0,49.8
113,Amherd Viola,C,VS,1962-06-07,916.0,79.4
114,Graf-Litscher Edith,S,TG,1964-03-25,617.0,51.6
115,Steiert Jean-François,S,FR,1961-02-07,509.0,41.4
116,Aebi Andreas,V,BE,1958-11-26,722.0,62.4
117,Bourgeois Jacques,RL,FR,1958-03-14,1006.0,87.0
118,Eichenberger-Walther Corina,RL,AG,1954-10-14,963.0,83.6
119,Estermann Yvette,V,LU,1967-02-26,615.0,49.8
120,Fiala Doris,RL,ZH,1957-01-29,825.0,69.4
121,Flückiger-Bäni Sylvia,V,AG,1952-06-01,719.0,62.2
122,Graf Maya,G,BL,1962-02-28,617.0,51.8
123,Geissbühler Andrea Martina,V,BE,1976-08-03,708.0,61.8
124,Schelbert Louis,G,LU,1952-10-31,590.0,49.6
125,Girod Bastien,G,ZH,1980-12-21,605.0,51.2
126,Glauser-Zufferey Alice,V,VD,1954-10-18,594.0,61.5
127,Grin Jean-Pierre,V,VD,1947-03-16,729.0,63.6
128,Grunder Hans,BD,BE,1956-06-13,753.0,60.8
129,Heer Alfred,V,ZH,1961-10-12,656.0,57.6
130,Hiltpold Hugues,RL,GE,1969-05-05,1017.0,87.8
131,Hurter Thomas,V,SH,1963-11-01,740.0,63.2
132,Brunner Toni,V,SG,1974-08-23,666.0,58.2
133,,,,,,
134,Lüscher Christian,RL,GE,1963-12-06,960.0,82.8
135,Glanzmann-Hunkeler Ida,C,LU,1958-09-29,964.0,83.2
136,Moser Tiana Angelina,GL,ZH,1979-04-06,807.0,69.2
137,Nidegger Yves,V,GE,1957-05-17,642.0,57.0
138,Nussbaumer Eric,S,BL,1960-07-11,583.0,47.6
139,Reimann Lukas,V,SG,1982-09-18,654.0,56.6
140,Rickli Natalie Simone,V,ZH,1976-11-19,703.0,60.8
141,Schmid-Federer Barbara,C,ZH,1965-11-10,864.0,74.4
142,Müller Thomas,V,SG,1952-12-01,726.0,62.6
143,Moret Isabelle,RL,VD,1970-12-30,754.0,60.4
144,Schmidt Roberto,C,VS,1962-07-16,914.0,79.4
145,Thorens Goumaz Adèle,G,VD,1971-12-15,603.0,51.4
146,von Siebenthal Erich,V,BE,1958-12-30,706.0,61.6
147,Wasserfallen Christian,RL,BE,1981-06-30,903.0,78.4
148,Marra Ada,S,VD,1973-03-10,581.0,48.8
149,Weibel Thomas,GL,ZH,1954-07-14,819.0,70.6
150,Semadeni Silva,S,GR,1952-02-08,593.0,49.4
151,Landolt Martin,BD,GL,1968-06-30,828.0,69.0
152,Maire Jacques-André,S,NE,1957-05-27,587.0,48.6
153,Büchel Roland Rino,V,SG,1965-10-08,692.0,60.6
154,Birrer-Heimo Prisca,S,LU,1959-02-04,539.0,45.6
155,Ingold Maja,C,ZH,1948-05-23,756.0,64.4
156,Jans Beat,S,BS,1964-07-12,601.0,50.2
157,Streiff-Feller Marianne,C,BE,1957-08-17,747.0,64.0
159,Schneider-Schneiter Elisabeth,C,BL,1964-02-19,839.0,76.2
160,Frehner Sebastian,V,BS,1973-09-02,609.0,49.6
161,Pfister Gerhard,C,ZG,1962-10-01,800.0,70.6
162,Pardini Corrado,S,BE,1965-06-19,556.0,47.2
163,Quadri Lorenzo,V,TI,1974-11-05,663.0,57.6
164,Aebischer Matthias,S,BE,1967-10-18,592.0,49.4
165,de Courten Thomas,V,BL,1966-07-29,716.0,62.2
166,Ritter Markus,C,SG,1967-04-19,921.0,80.2
167,Aeschi Thomas,V,ZG,1979-01-13,669.0,58.8
168,Müri Felix,V,LU,1958-01-22,722.0,63.4
169,Vitali Albert,RL,LU,1955-06-26,969.0,83.6
170,Fässler Daniel,C,AI,1960-08-22,855.0,71.2
171,Rime Jean-François,V,FR,1950-06-28,655.0,57.2
172,Badran Jacqueline,S,ZH,1961-11-12,524.0,42.8
173,Flach Beat,GL,AG,1965-01-21,817.0,70.2
174,Schneeberger Daniela,RL,BL,1967-09-19,966.0,84.0
175,Hardegger Thomas,S,ZH,1956-04-02,553.0,47.0
176,Wermuth Cédric,S,AG,1986-02-19,551.0,46.2
177,Müller-Altermatt Stefan,C,SO,1976-06-17,886.0,76.4
178,Pieren Nadja,V,BE,1980-02-14,722.0,62.8
179,Quadranti Rosmarie,BD,ZH,1957-07-18,904.0,77.8
180,Brand Heinz,V,GR,1955-09-06,707.0,62.4
181,Feri Yvonne,S,AG,1966-03-21,561.0,47.8
182,Candinas Martin,C,GR,1980-08-20,863.0,75.8
183,Leutenegger Oberholzer Susanne,S,BL,1948-03-06,576.0,48.4
184,Regazzi Fabio,C,TI,1962-06-22,941.0,81.6
185,Pantani Roberta,V,TI,1965-09-19,732.0,63.2
186,Fridez Pierre-Alain,S,JU,1957-11-20,559.0,44.6
187,Gasche Urs,BD,BE,1955-03-15,805.0,81.5
188,Hadorn Philipp,S,SO,1967-02-06,597.0,49.8
189,Feller Olivier,RL,VD,1974-08-30,907.0,78.4
190,Derder Fathi,RL,VD,1970-12-04,972.0,84.4
191,Guhl Bernhard,BD,AG,1972-06-10,941.0,80.6
192,Grossen Jürg,GL,BE,1969-08-24,806.0,69.2
193,Pezzatti Bruno,RL,ZG,1951-03-04,912.0,75.0
194,Vogler Karl,C,OW,1956-03-24,944.0,81.6
195,Buttet Yannick,C,VS,1977-07-12,925.0,76.2
196,Gschwind Jean-Paul,C,JU,1952-10-31,957.0,82.6
197,Riklin Kathy,C,ZH,1952-10-21,902.0,77.4
198,Amaudruz Céline,V,GE,1979-03-15,736.0,64.0
199,Reynard Mathias,S,VS,1987-09-07,596.0,49.8
200,Glättli Balthasar,G,ZH,1972-02-12,606.0,50.8
201,Hess Lorenz,BD,BE,1961-06-28,825.0,73.2
202,Rytz Regula,G,BE,1962-03-02,575.0,48.8
