,Nationalrat,Fraktion,Kanton,Geb. Datum,Mit Mehrheit/Total,MitMehrheit/Prozent
0,Gmür Alois,C,SZ,1955-04-03,938.0,82.2
1,Müller Leo,C,LU,1958-07-04,930.0,80.6
2,Keller Peter,V,NW,1971-04-22,698.0,60.4
3,Stahl Jürg,V,ZH,1968-01-16,668.0,58.0
4,Rösti Albert,V,BE,1967-08-07,683.0,59.4
5,Bulliard-Marbach Christine,C,FR,1959-10-13,919.0,80.2
6,Bertschy Kathrin,GL,BE,1979-07-02,761.0,64.4
7,Hausammann Markus,V,TG,1964-09-20,715.0,62.6
8,Sommaruga Carlo,S,GE,1959-07-08,563.0,47.8
9,Walter Hansjörg,V,TG,1951-02-05,738.0,64.2
10,Naef Martin,S,ZH,1970-11-10,574.0,48.0
11,Amarelle Cesla,S,VD,1973-09-14,527.0,45.0
12,Chevalley Isabelle,GL,VD,1972-04-13,820.0,70.4
13,Piller Carrard Valérie,S,FR,1978-09-09,602.0,50.2
14,Egloff Hans,V,ZH,1959-11-27,673.0,52.0
15,Tornare Manuel,S,GE,1951-04-20,578.0,48.8
16,Knecht Hansjörg,V,AG,1960-03-24,711.0,62.0
17,Schwaab Jean Christophe,S,VD,1979-08-23,582.0,48.6
18,Gössi Petra,RL,SZ,1976-01-12,990.0,85.8
19,Lohr Christian,C,TG,1962-04-05,936.0,81.0
20,Romano Marco,C,TI,1982-11-06,925.0,80.6
21,Gysi Barbara,S,SG,1964-05-14,559.0,47.0
22,Schilliger Peter,RL,LU,1959-06-01,895.0,76.4
23,Rutz Gregor A.,V,ZH,1972-10-12,689.0,60.0
24,Herzog Verena,V,TG,1956-02-07,724.0,62.8
25,Masshardt Nadine,S,BE,1984-10-04,606.0,50.6
26,Friedl Claudia,S,SG,1960-07-19,602.0,50.2
27,Zuberbühler David,V,AR,1979-02-20,710.0,61.8
28,Munz Martina,S,SH,1955-12-26,601.0,50.4
29,Clottu Raymond,V,NE,1967-12-18,728.0,63.2
30,Golay Roger,V,GE,1959-09-23,718.0,61.8
31,Barazzone Guillaume,C,GE,1982-01-13,829.0,72.8
32,Merlini Giovanni,RL,TI,1962-05-27,343.0,83.5
33,Portmann Hans-Peter,RL,ZH,1963-02-22,912.0,80.0
34,Walti Beat,RL,ZH,1968-11-22,964.0,83.4
35,Humbel Ruth,C,AG,1957-07-23,948.0,82.0
36,Matter Thomas,V,ZH,1966-03-23,702.0,61.0
37,Ruiz Rebecca Ana,S,VD,1982-02-04,599.0,50.2
38,Häsler Christine,G,BE,1963-01-11,596.0,49.4
39,Addor Jean-Luc,V,VS,1964-04-22,701.0,60.6
40,Arnold Beat,V,UR,1978-04-24,683.0,60.2
41,Buffat Michaël,V,VD,1979-09-27,682.0,58.2
42,Bühler Manfred,V,BE,1979-04-10,714.0,62.4
43,Burgherr Thomas,V,AG,1962-08-01,704.0,61.0
44,Chiesa Marco,V,TI,1974-10-10,715.0,61.2
45,Dettling Marcel,V,SZ,1981-02-01,678.0,60.0
46,Glarner Andreas,V,AG,1962-10-09,689.0,59.8
47,Grüter Franz,V,LU,1963-07-29,695.0,61.2
48,Hess Erich,V,BE,1981-03-25,662.0,57.6
49,Imark Christian,V,SO,1982-01-29,725.0,62.4
50,Keller-Inhelder Barbara,V,SG,1968-08-24,726.0,63.8
51,Köppel Roger,V,ZH,1965-03-21,609.0,52.0
52,Martullo-Blocher Magdalena,V,GR,1969-08-13,690.0,60.2
53,Nicolet Jacques,V,VD,1965-10-24,702.0,61.4
54,Page Pierre-André,V,FR,1960-04-19,741.0,64.0
55,Eymann Christoph,RL,BS,1951-01-15,872.0,74.4
56,Ruppen Franz,V,VS,1971-02-24,726.0,63.4
57,Salzmann Werner,V,BE,1962-11-05,713.0,62.2
58,Sollberger Sandra,V,BL,1973-10-27,743.0,64.8
59,Steinemann Barbara,V,ZH,1976-06-18,726.0,63.8
60,Tuena Mauro,V,ZH,1972-01-25,723.0,62.8
61,Büchler Jakob,C,SG,1952-05-29,904.0,80.2
62,Vogt Hans-Ueli,V,ZH,1969-12-05,724.0,62.6
63,Walliser Bruno,V,ZH,1966-04-11,617.0,55.6
64,Zanetti Claudio,V,ZH,1967-06-16,726.0,62.8
65,Ammann Thomas,C,SG,1964-07-13,746.0,60.4
66,Gmür-Schönenberger Andrea,C,LU,1964-07-17,954.0,82.4
67,Béglé Claude,C,VD,1949-12-04,929.0,81.4
68,Marchand-Balet Géraldine,C,VS,1971-01-18,877.0,75.8
69,Arslan Sibel,G,BS,1980-06-23,589.0,49.6
70,Fricker Jonas,G,AG,1977-03-30,612.0,51.4
71,Mazzone Lisa,G,GE,1988-01-25,598.0,50.6
72,Giezendanner Ulrich,V,AG,1953-10-31,669.0,58.6
73,Bauer Philippe,RL,NE,1962-04-09,966.0,84.2
74,Borloz Frédéric,RL,VD,1966-04-22,854.0,72.8
75,Burkart Thierry,RL,AG,1975-08-21,957.0,82.8
76,Dobler Marcel,RL,SG,1980-08-29,982.0,85.0
77,Genecand Benoît,RL,GE,1964-01-28,931.0,82.0
78,Hess Hermann,RL,TG,1951-12-22,791.0,64.2
79,Fluri Kurt,RL,SO,1955-08-19,833.0,70.6
80,Fehlmann Rielle Laurence,S,GE,1955-09-11,597.0,50.0
81,de Buman Dominique,C,FR,1956-04-28,887.0,77.4
82,Galladé Chantal,S,ZH,1972-12-17,533.0,42.6
